material_id,formula,supercell,n_sites
mp-39,Tl2,"4, 4, 4",2
mp-149,Si8,"2, 2, 2",8
mp-422,Be4 S4,"2, 2, 2",8
mp-661,Al2 N2,"4, 4, 2",4
mp-886,Ga8 O12,"1, 3, 2",20
mp-1022,K8 S4,"2, 2, 2",12
mp-1105,Ba2 O4,"3, 3, 2",6
mp-1224,Hg4 O4,"2, 2, 4",8
mp-1253,Ba4 Se4,"2, 2, 2",8
mp-1265,Mg4 O4,"2, 2, 2",8
mp-1392,Zn8 P16,"1, 2, 2",24
mp-1541,Be4 Se4,"2, 2, 2",8
mp-1666,Th8 S20,"2, 1, 2",28
mp-1784,Cs4 F4,"2, 2, 2",8
mp-2657,Ti2 O4,"2, 2, 4",6
mp-2659,Li2 N6,"2, 3, 3",8
mp-2667,Cs1 Au1,"4, 4, 4",2
mp-2672,K8 O8,"2, 2, 2",16
mp-2691,Cd4 Se4,"2, 2, 2",8
mp-2697,Sr2 O4,"3, 3, 2",6
mp-2739,Te4 O8,"2, 2, 2",12
mp-2741,Ca4 F8,"2, 2, 2",12
mp-2758,Sr4 Se4,"2, 2, 2",8
mp-2763,Nd2 O3,"3, 3, 2",5
mp-2782,Zn8 P16,"2, 2, 1",24
mp-2784,Na8 Te4,"2, 2, 2",12
mp-2789,N12 O24,"1, 1, 1",36
mp-2798,Si24 P24,"3, 1, 1",48
mp-2892,Ba4 Nd8 O16,"1, 3, 1",28
mp-2998,Ba1 Ti1 O3,"3, 3, 3",5
mp-3107,Ga9 P3 O21,"1, 1, 2",33
mp-3164,Ba4 S4 O16,"1, 2, 2",24
mp-3193,Na8 Si8 O20,"2, 2, 1",36
mp-3472,Pb4 S4 O16,"1, 2, 2",24
mp-3491,Nb4 Sb4 O16,"2, 3, 1",24
mp-3700,Li4 Y4 F16,"2, 2, 1",24
mp-3707,Ca4 Ge8 O20,"2, 1, 2",32
mp-3996,Ga3 As3 O12,"2, 2, 1",18
mp-4056,Ca4 Sc8 O16,"1, 4, 1",28
mp-4192,Ca12 As4 N4,"2, 1, 2",20
mp-4473,Ba4 Cu8 Se8,"2, 3, 1",20
mp-4511,La2 S1 O2,"3, 3, 2",5
mp-4608,K3 P3 F18,"1, 1, 2",24
mp-4651,Sr4 Ti4 O12,"2, 2, 1",20
mp-4662,Sc4 O4 F4,"2, 3, 2",12
mp-4718,Nd4 Ta4 O16,"2, 1, 3",24
mp-4809,Ga4 Hg2 S8,"2, 2, 2",14
mp-5285,Sr4 S4 O16,"1, 2, 2",24
mp-5309,K4 Au4 F16,"2, 2, 1",24
mp-5338,Zn8 Se8 O24,"2, 1, 1",40
mp-5368,Li6 Ge3 F18,"1, 1, 2",27
mp-5387,Y4 Nb4 O16,"2, 1, 3",24
mp-5487,Sr12 Si4 O20,"2, 2, 1",36
mp-5967,Ti4 Co4 Sb4,"2, 2, 2",12
mp-5970,Ba4 Cu8 S8,"2, 3, 1",20
mp-6037,Ba8 Sm4 Sb4 O24,"1, 1, 1",40
mp-6065,Sr8 Ga4 Sb4 O24,"1, 1, 1",40
mp-6169,Ba3 Ta6 Si4 O26,"1, 1, 2",39
mp-6175,Ba8 Li16 P16 O56,"1, 1, 1",96
mp-6211,Rb4 Li4 S4 O16,"2, 2, 1",28
mp-6233,Na6 Sr18 Ru6 O36,"1, 1, 1",66
mp-6265,Ba8 Tb4 Sb4 O24,"1, 1, 1",40
mp-6332,Li4 Ti2 Si2 O10,"2, 2, 2",18
mp-6574,Er2 C1 N2 O2,"3, 3, 2",7
mp-6586,K8 Na4 Al4 F24,"1, 1, 1",40
mp-6753,Ca20 Si8 C8 O52,"1, 1, 1",88
mp-6875,Ba4 Na8 Al16 Si16 O64,"1, 1, 1",108
mp-7084,Sr4 Ca4 Si4,"2, 3, 2",12
mp-7173,Sc4 Sb4 Pt4,"2, 2, 2",12
mp-7249,Ba3 Nb2 Zn1 O9,"2, 2, 2",15
mp-7293,Hg8 P8 Se24,"2, 1, 1",40
mp-7297,Cs2 Sn1 F6,"2, 2, 3",9
mp-7380,Cs2 Rb4 Si2 F14,"1, 1, 2",22
mp-7652,Na40 Tl8 O32,"1, 1, 1",80
mp-7765,Ba12 Si4 O20,"2, 2, 1",36
mp-7808,Ba4 P12,"1, 2, 3",16
mp-8177,Hg4 F8,"2, 2, 2",12
mp-8179,Li4 Tl4 O8,"3, 3, 1",16
mp-8191,Cs2 Pt1 F6,"2, 2, 3",9
mp-8590,K4 Hf2 F12,"2, 2, 2",18
mp-8614,K18 Nd6 Si12 O42,"1, 1, 1",78
mp-8725,Hf4 Sn4 S12,"2, 3, 1",20
mp-8774,Rb18 C6 O18 F6,"1, 1, 1",48
mp-8866,La20 Se38,"1, 1, 1",58
mp-8985,Ba8 Y4 C8 O24 F12,"1, 2, 1",56
mp-9077,Nd4 Be4 Si2 O14,"1, 1, 2",24
mp-9263,K3 Er3 Te6,"3, 3, 1",12
mp-9518,Nd6 Zn6 P6 O6,"2, 2, 1",24
mp-9607,Li8 U4 O16,"1, 2, 2",28
mp-9711,Ba4 Si10 N16,"2, 2, 1",30
mp-10429,La4 Y4 O12,"2, 1, 2",20
mp-10695,Zn4 S4,"2, 2, 2",8
mp-11114,K2 Cu2 Pd2 Se10,"2, 2, 2",16
mp-11695,Rb8 Pd12 S16,"2, 2, 1",36
mp-12637,Ba8 Nd4 Nb4 O24,"1, 1, 1",40
mp-12829,Li2 Ca2 Ga2 F12,"2, 2, 2",18
mp-13000,Ba4 Ho2 Ta2 O12,"2, 2, 1",20
mp-13032,Mg4 S4,"2, 2, 2",8
mp-13282,Sm2 Er6 Se12,"2, 3, 1",20
mp-13602,Cd12 As8 O32,"1, 1, 2",52
mp-14023,Na24 Li24 Sc16 F96,"1, 1, 1",160
mp-14052,Ca24 In16 Si24 O96,"1, 1, 1",160
mp-14384,Ba18 Ho6 B18 O54,"1, 1, 1",96
